study_trials.thisRepN,study_trials.thisTrialN,study_trials.thisN,study_trials.thisIndex,text_14.started,text_14.stopped,study_instructions.started,study_instructions.stopped,study_instr_resp.keys,study_instr_resp.rt,study_instr_resp.started,study_instr_resp.stopped,StudyTrial,StudyImage,Condition,study_outdoor_selected.started,study_outdoor_selected.stopped,study_outdoor.started,study_outdoor.stopped,study_indoor_selected.started,study_indoor_selected.stopped,study_indoor.started,study_indoor.stopped,study_image_shown.started,study_image_shown.stopped,study_resp.keys,study_resp.started,study_resp.stopped,participant,First name,Last name,date,expName,psychopyVersion,frameRate,
28,0,28,0,127.34145192800497,None,,,,,,,29,all_images/1_097a.jpg,HSim,124.32934502800344,None,124.32934502800344,None,124.32934502800344,None,124.32934502800344,None,124.32934502800344,None,None,124.32934502800344,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
29,0,29,0,131.36323804700805,None,,,,,,,30,all_images/3_188a.jpg,LSim,128.35402914400038,None,128.35402914400038,None,128.35402914400038,None,128.35402914400038,None,128.35402914400038,None,None,128.35402914400038,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
30,0,30,0,135.38835178600857,None,,,,,,,31,all_images/1_101a.jpg,LSim,132.3768336810026,None,132.3768336810026,None,132.3768336810026,None,132.3768336810026,None,132.3768336810026,None,None,132.3768336810026,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
31,0,31,0,139.41505706300086,None,,,,,,,32,all_images/F_153a.jpg,HSim,136.40162030700594,None,136.40162030700594,None,136.40162030700594,None,136.40162030700594,None,136.40162030700594,None,None,136.40162030700594,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
32,0,32,0,143.43945434900525,None,,,,,,,33,all_images/6_102a.jpg,LSim,140.4276213300036,None,140.4276213300036,None,140.4276213300036,None,140.4276213300036,None,140.4276213300036,None,None,140.4276213300036,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
33,0,33,0,147.4604000190011,None,,,,,,,34,all_images/2_068a.jpg,HSim,144.4515987939958,None,144.4515987939958,None,144.4515987939958,None,144.4515987939958,None,144.4515987939958,None,None,144.4515987939958,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
34,0,34,0,151.48801552399527,None,,,,,,,35,all_images/E_038a.jpg,HSim,148.47659812199709,None,148.47659812199709,None,148.47659812199709,None,148.47659812199709,None,148.47659812199709,None,None,148.47659812199709,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
35,0,35,0,155.51288206000754,None,,,,,,,36,all_images/3_109a.jpg,LSim,152.50008976800018,None,152.50008976800018,None,152.50008976800018,None,152.50008976800018,None,152.50008976800018,None,None,152.50008976800018,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
36,0,36,0,159.53856296099548,None,,,,,,,37,all_images/5_174a.jpg,LSim,156.52538396100863,None,156.52538396100863,None,156.52538396100863,None,156.52538396100863,None,156.52538396100863,None,None,156.52538396100863,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
37,0,37,0,163.55761980600073,None,,,,,,,38,all_images/6_057a.jpg,LSim,160.54809520799608,None,160.54809520799608,None,160.54809520799608,None,160.54809520799608,None,160.54809520799608,None,None,160.54809520799608,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
38,0,38,0,167.5808317589981,None,,,,,,,39,all_images/1_159a.jpg,HSim,164.56829418499547,None,164.56829418499547,None,164.56829418499547,None,164.56829418499547,None,164.56829418499547,None,None,164.56829418499547,None,999,,,2022_Jan_09_1316,BLAES_MST_encoding,3.2.4,235.7460400380895,
