14.3045 	EXP 	study_outdoor_selected: opacity = 1
14.3092 	EXP 	study_outdoor_selected: opacity = 1
14.3137 	EXP 	study_outdoor_selected: opacity = 1
14.3184 	EXP 	study_outdoor_selected: opacity = 1
14.3231 	EXP 	study_outdoor_selected: opacity = 1
14.3278 	EXP 	study_outdoor_selected: opacity = 1
14.3330 	EXP 	study_outdoor_selected: opacity = 1
14.3377 	EXP 	study_outdoor_selected: opacity = 1
14.3423 	EXP 	study_outdoor_selected: opacity = 1
14.3469 	EXP 	study_outdoor_selected: opacity = 1
14.3516 	EXP 	study_outdoor_selected: opacity = 1
14.3563 	EXP 	study_outdoor_selected: opacity = 1
14.3610 	EXP 	study_outdoor_selected: opacity = 1
14.3662 	EXP 	study_outdoor_selected: opacity = 1
14.3710 	EXP 	study_outdoor_selected: opacity = 1
14.3756 	EXP 	study_outdoor_selected: opacity = 1
14.3802 	EXP 	study_outdoor_selected: opacity = 1
14.3850 	EXP 	study_outdoor_selected: opacity = 1
14.3897 	EXP 	study_outdoor_selected: opacity = 1
14.3945 	EXP 	study_outdoor_selected: opacity = 1
14.3998 	EXP 	study_outdoor_selected: opacity = 1
14.4045 	EXP 	study_outdoor_selected: opacity = 1
14.4091 	EXP 	study_outdoor_selected: opacity = 1
14.4137 	EXP 	study_outdoor_selected: opacity = 1
14.4184 	EXP 	study_outdoor_selected: opacity = 1
14.4231 	EXP 	study_outdoor_selected: opacity = 1
14.4278 	EXP 	study_outdoor_selected: opacity = 1
14.4330 	EXP 	study_outdoor_selected: opacity = 1
14.4377 	EXP 	study_outdoor_selected: opacity = 1
14.4424 	EXP 	study_outdoor_selected: opacity = 1
14.4471 	EXP 	study_outdoor_selected: opacity = 1
14.4518 	EXP 	study_outdoor_selected: opacity = 1
14.4565 	EXP 	study_outdoor_selected: opacity = 1
14.4612 	EXP 	study_outdoor_selected: opacity = 1
14.4664 	EXP 	study_outdoor_selected: opacity = 1
14.4807 	EXP 	study_outdoor_selected: autoDraw = False
14.4807 	EXP 	study_outdoor: autoDraw = False
14.4807 	EXP 	study_indoor_selected: autoDraw = False
14.4807 	EXP 	study_indoor: autoDraw = False
14.4807 	EXP 	study_image_shown: autoDraw = False
14.4807 	EXP 	study_outdoor_selected: opacity = 1
14.4807 	EXP 	study_outdoor_selected: autoDraw = False
14.4807 	EXP 	study_outdoor: autoDraw = False
14.4807 	EXP 	study_indoor_selected: autoDraw = False
14.4807 	EXP 	study_indoor: autoDraw = False
14.4807 	EXP 	study_image_shown: autoDraw = False
14.4807 	EXP 	study_indoor_selected: opacity = 0
14.4807 	EXP 	study_outdoor_selected: opacity = 0
14.4807 	EXP 	text_14: autoDraw = True
15.4813 	EXP 	New trial (rep=1, index=0): None
15.4935 	EXP 	text_14: autoDraw = False
15.4935 	EXP 	text_14: autoDraw = False
15.4935 	EXP 	study_outdoor_selected: pos = array([ 0.4, -0.4])
15.4935 	EXP 	study_outdoor_selected: size = array([0.2, 0.2])
15.4935 	EXP 	study_outdoor: pos = array([ 0.4, -0.4])
15.4935 	EXP 	study_outdoor: size = array([0.2, 0.2])
15.4935 	EXP 	study_indoor_selected: pos = array([-0.4, -0.4])
15.4935 	EXP 	study_indoor_selected: size = array([0.2, 0.2])
15.4935 	EXP 	study_indoor: pos = array([-0.4, -0.4])
15.4935 	EXP 	study_indoor: size = array([0.2, 0.2])
15.4935 	EXP 	study_image_shown: size = array([0.5, 0.7])
15.4935 	EXP 	study_image_shown: image = 'all_images/3_083a.jpg'
15.4935 	EXP 	study_outdoor_selected: autoDraw = True
15.4935 	EXP 	study_outdoor: autoDraw = True
15.4935 	EXP 	study_indoor_selected: autoDraw = True
15.4935 	EXP 	study_indoor: autoDraw = True
15.4935 	EXP 	study_image_shown: autoDraw = True
16.0273 	DATA 	Keypress: f
16.0319 	EXP 	study_indoor_selected: opacity = 1
16.0367 	EXP 	study_indoor_selected: opacity = 1
16.0414 	EXP 	study_indoor_selected: opacity = 1
16.0461 	EXP 	study_indoor_selected: opacity = 1
16.0509 	EXP 	study_indoor_selected: opacity = 1
16.0556 	EXP 	study_indoor_selected: opacity = 1
16.0603 	EXP 	study_indoor_selected: opacity = 1
16.0649 	EXP 	study_indoor_selected: opacity = 1
16.0695 	EXP 	study_indoor_selected: opacity = 1
16.0740 	EXP 	study_indoor_selected: opacity = 1
16.0785 	EXP 	study_indoor_selected: opacity = 1
16.0831 	EXP 	study_indoor_selected: opacity = 1
16.0876 	EXP 	study_indoor_selected: opacity = 1
16.0921 	EXP 	study_indoor_selected: opacity = 1
16.0966 	EXP 	study_indoor_selected: opacity = 1
16.1011 	EXP 	study_indoor_selected: opacity = 1
16.1057 	EXP 	study_indoor_selected: opacity = 1
16.1102 	EXP 	study_indoor_selected: opacity = 1
16.1147 	EXP 	study_indoor_selected: opacity = 1
16.1193 	EXP 	study_indoor_selected: opacity = 1
16.1242 	EXP 	study_indoor_selected: opacity = 1
16.1288 	EXP 	study_indoor_selected: opacity = 1
16.1333 	EXP 	study_indoor_selected: opacity = 1
16.1379 	EXP 	study_indoor_selected: opacity = 1
16.1424 	EXP 	study_indoor_selected: opacity = 1
16.1469 	EXP 	study_indoor_selected: opacity = 1
16.1514 	EXP 	study_indoor_selected: opacity = 1
16.1560 	EXP 	study_indoor_selected: opacity = 1
16.1605 	EXP 	study_indoor_selected: opacity = 1
16.1649 	EXP 	study_indoor_selected: opacity = 1
16.1695 	EXP 	study_indoor_selected: opacity = 1
16.1740 	EXP 	study_indoor_selected: opacity = 1
16.1786 	EXP 	study_indoor_selected: opacity = 1
16.1834 	EXP 	study_indoor_selected: opacity = 1
16.1879 	EXP 	study_indoor_selected: opacity = 1
16.1925 	EXP 	study_indoor_selected: opacity = 1
16.1969 	EXP 	study_indoor_selected: opacity = 1
16.2015 	EXP 	study_indoor_selected: opacity = 1
16.2060 	EXP 	study_indoor_selected: opacity = 1
16.2105 	EXP 	study_indoor_selected: opacity = 1
16.2150 	EXP 	study_indoor_selected: opacity = 1
16.2195 	EXP 	study_indoor_selected: opacity = 1
16.2240 	EXP 	study_indoor_selected: opacity = 1
16.2285 	EXP 	study_indoor_selected: opacity = 1
16.2331 	EXP 	study_indoor_selected: opacity = 1
16.2377 	EXP 	study_indoor_selected: opacity = 1
16.2422 	EXP 	study_indoor_selected: opacity = 1
16.2467 	EXP 	study_indoor_selected: opacity = 1
16.2512 	EXP 	study_indoor_selected: opacity = 1
16.2557 	EXP 	study_indoor_selected: opacity = 1
16.2602 	EXP 	study_indoor_selected: opacity = 1
16.2647 	EXP 	study_indoor_selected: opacity = 1
16.2693 	EXP 	study_indoor_selected: opacity = 1
16.2738 	EXP 	study_indoor_selected: opacity = 1
16.2783 	EXP 	study_indoor_selected: opacity = 1
16.2832 	EXP 	study_indoor_selected: opacity = 1
16.2877 	EXP 	study_indoor_selected: opacity = 1
16.2923 	EXP 	study_indoor_selected: opacity = 1
16.2967 	EXP 	study_indoor_selected: opacity = 1
16.3013 	EXP 	study_indoor_selected: opacity = 1
16.3058 	EXP 	study_indoor_selected: opacity = 1
16.3104 	EXP 	study_indoor_selected: opacity = 1
16.3149 	EXP 	study_indoor_selected: opacity = 1
16.3195 	EXP 	study_indoor_selected: opacity = 1
16.3241 	EXP 	study_indoor_selected: opacity = 1
16.3287 	EXP 	study_indoor_selected: opacity = 1
16.3332 	EXP 	study_indoor_selected: opacity = 1
16.3378 	EXP 	study_indoor_selected: opacity = 1
16.3424 	EXP 	study_indoor_selected: opacity = 1
16.3469 	EXP 	study_indoor_selected: opacity = 1
16.3515 	EXP 	study_indoor_selected: opacity = 1
16.3560 	EXP 	study_indoor_selected: opacity = 1
16.3605 	EXP 	study_indoor_selected: opacity = 1
16.3650 	EXP 	study_indoor_selected: opacity = 1
16.3696 	EXP 	study_indoor_selected: opacity = 1
16.3741 	EXP 	study_indoor_selected: opacity = 1
16.3787 	EXP 	study_indoor_selected: opacity = 1
16.3832 	EXP 	study_indoor_selected: opacity = 1
16.3877 	EXP 	study_indoor_selected: opacity = 1
16.3923 	EXP 	study_indoor_selected: opacity = 1
16.3968 	EXP 	study_indoor_selected: opacity = 1
16.4013 	EXP 	study_indoor_selected: opacity = 1
16.4059 	EXP 	study_indoor_selected: opacity = 1
16.4105 	EXP 	study_indoor_selected: opacity = 1
16.4150 	EXP 	study_indoor_selected: opacity = 1
