study_trials.thisRepN,study_trials.thisTrialN,study_trials.thisN,study_trials.thisIndex,text_14.started,text_14.stopped,study_instructions.started,study_instructions.stopped,study_instr_resp.keys,study_instr_resp.rt,study_instr_resp.started,study_instr_resp.stopped,StudyTrial,StudyImage,Condition,study_outdoor_selected.started,study_outdoor_selected.stopped,study_outdoor.started,study_outdoor.stopped,study_indoor_selected.started,study_indoor_selected.stopped,study_indoor.started,study_indoor.stopped,study_image_shown.started,study_image_shown.stopped,study_resp.keys,study_resp.rt,study_resp.started,study_resp.stopped,text_4.started,text_4.stopped,end_resp.keys,end_resp.started,end_resp.stopped,participant,First name,Last name,date,expName,psychopyVersion,frameRate,
31,0,31,0,139.17689704500663,None,,,,,,,32,all_images/1_053a.jpg,LSim,136.16500597800768,None,136.16500597800768,None,136.16500597800768,None,136.16500597800768,None,136.16500597800768,None,f,1.0388989570055855,136.16500597800768,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
32,0,32,0,143.2038523430092,None,,,,,,,33,all_images/1_010a.jpg,LSim,140.19132612000976,None,140.19132612000976,None,140.19132612000976,None,140.19132612000976,None,140.19132612000976,None,None,,140.19132612000976,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
33,0,33,0,147.22702831400966,None,,,,,,,34,all_images/1_183a.jpg,LSim,144.21632121800212,None,144.21632121800212,None,144.21632121800212,None,144.21632121800212,None,144.21632121800212,None,None,,144.21632121800212,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
34,0,34,0,151.25121697199938,None,,,,,,,35,all_images/C_051a.jpg,HSim,148.2383777990035,None,148.2383777990035,None,148.2383777990035,None,148.2383777990035,None,148.2383777990035,None,None,,148.2383777990035,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
35,0,35,0,155.27244239700667,None,,,,,,,36,all_images/6_044a.jpg,HSim,152.26202544399712,None,152.26202544399712,None,152.26202544399712,None,152.26202544399712,None,152.26202544399712,None,None,,152.26202544399712,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
36,0,36,0,159.2984378740075,None,,,,,,,37,all_images/1_085a.jpg,LSim,156.28672249500232,None,156.28672249500232,None,156.28672249500232,None,156.28672249500232,None,156.28672249500232,None,None,,156.28672249500232,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
37,0,37,0,163.3227342790051,None,,,,,,,38,all_images/C_085a.jpg,LSim,160.31005558100878,None,160.31005558100878,None,160.31005558100878,None,160.31005558100878,None,160.31005558100878,None,None,,160.31005558100878,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
38,0,38,0,167.34490634000394,None,,,,,,,39,all_images/5_129a.jpg,LSim,164.33581194200087,None,164.33581194200087,None,164.33581194200087,None,164.33581194200087,None,164.33581194200087,None,None,,164.33581194200087,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
39,0,39,0,171.36934223100252,None,,,,,,,40,all_images/E_073a.jpg,HSim,168.35694164400047,None,168.35694164400047,None,168.35694164400047,None,168.35694164400047,None,168.35694164400047,None,None,,168.35694164400047,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
40,0,40,0,175.3926036930061,None,,,,,,,41,all_images/3_115a.jpg,LSim,172.3815199170058,None,172.3815199170058,None,172.3815199170058,None,172.3815199170058,None,172.3815199170058,None,None,,172.3815199170058,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
41,0,41,0,179.4156765259977,None,,,,,,,42,all_images/F_090a.jpg,HSim,176.4055223470059,None,176.4055223470059,None,176.4055223470059,None,176.4055223470059,None,176.4055223470059,None,None,,176.4055223470059,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
42,0,42,0,183.44171481599915,None,,,,,,,43,all_images/1_163a.jpg,HSim,180.43204041500576,None,180.43204041500576,None,180.43204041500576,None,180.43204041500576,None,180.43204041500576,None,None,,180.43204041500576,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
43,0,43,0,187.46339453200926,None,,,,,,,44,all_images/6_001a.jpg,LSim,184.45372276000853,None,184.45372276000853,None,184.45372276000853,None,184.45372276000853,None,184.45372276000853,None,None,,184.45372276000853,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
44,0,44,0,191.48631955000747,None,,,,,,,45,all_images/3_185a.jpg,LSim,188.47704343800433,None,188.47704343800433,None,188.47704343800433,None,188.47704343800433,None,188.47704343800433,None,None,,188.47704343800433,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
45,0,45,0,195.5087081590027,None,,,,,,,46,all_images/3_019a.jpg,LSim,192.49862210800347,None,192.49862210800347,None,192.49862210800347,None,192.49862210800347,None,192.49862210800347,None,None,,192.49862210800347,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
46,0,46,0,199.53488851200382,None,,,,,,,47,all_images/5_085a.jpg,HSim,196.5216994509974,None,196.5216994509974,None,196.5216994509974,None,196.5216994509974,None,196.5216994509974,None,None,,196.5216994509974,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
47,0,47,0,203.55694241600577,None,,,,,,,48,all_images/D_129a.jpg,LSim,200.5466814070096,None,200.5466814070096,None,200.5466814070096,None,200.5466814070096,None,200.5466814070096,None,None,,200.5466814070096,None,,,,,,123,,,2022_Jan_09_1244,BLAES_MST_encoding,3.2.4,236.12038344855486,
