imgA,imgB,rating,condition,session_id
D_036a.jpg,D_036b.jpg,2,LSim,1
1_109a.jpg,1_109b.jpg,4,Targ,2
F_005a.jpg,F_005b.jpg,1,Targ,5
3_126a.jpg,3_126b.jpg,1,LSim,3
5_021a.jpg,5_021b.jpg,5,Targ,2
5_041a.jpg,5_041b.jpg,5,Targ,2
6_142a.jpg,6_142b.jpg,1,Foil,4
1_177a.jpg,1_177b.jpg,2,Foil,1
1_120a.jpg,1_120b.jpg,3,HSim,3
3_143a.jpg,3_143b.jpg,4,Targ,2
2_112a.jpg,2_112b.jpg,3,HSim,5
1_084a.jpg,1_084b.jpg,2,Targ,2
5_172a.jpg,5_172b.jpg,4,HSim,3
F_023a.jpg,F_023b.jpg,1,LSim,3
3_122a.jpg,3_122b.jpg,4,HSim,1
3_121a.jpg,3_121b.jpg,2,LSim,4
2_036a.jpg,2_036b.jpg,1,Targ,4
3_071a.jpg,3_071b.jpg,1,Targ,1
5_155a.jpg,5_155b.jpg,4,Foil,3
4_075a.jpg,4_075b.jpg,5,Foil,5
6_191a.jpg,6_191b.jpg,2,LSim,2
F_090a.jpg,F_090b.jpg,4,HSim,5
C_173a.jpg,C_173b.jpg,1,Targ,2
1_007a.jpg,1_007b.jpg,2,Targ,4
1_028a.jpg,1_028b.jpg,4,HSim,5
3_006a.jpg,3_006b.jpg,2,LSim,5
4_167a.jpg,4_167b.jpg,4,Targ,3
3_013a.jpg,3_013b.jpg,2,LSim,3
5_020a.jpg,5_020b.jpg,4,Targ,3
4_029a.jpg,4_029b.jpg,2,Targ,1
2_177a.jpg,2_177b.jpg,2,LSim,3
3_021a.jpg,3_021b.jpg,1,Foil,3
6_003a.jpg,6_003b.jpg,1,Foil,4
3_167a.jpg,3_167b.jpg,3,HSim,2
2_028a.jpg,2_028b.jpg,2,Foil,2
5_139a.jpg,5_139b.jpg,4,HSim,4
F_001a.jpg,F_001b.jpg,4,Targ,5
2_081a.jpg,2_081b.jpg,1,Targ,2
2_164a.jpg,2_164b.jpg,1,Foil,4
1_158a.jpg,1_158b.jpg,4,Targ,5
2_011a.jpg,2_011b.jpg,2,Targ,4
4_006a.jpg,4_006b.jpg,4,Targ,2
5_005a.jpg,5_005b.jpg,3,Foil,3
5_011a.jpg,5_011b.jpg,3,HSim,2
F_067a.jpg,F_067b.jpg,4,HSim,1
3_105a.jpg,3_105b.jpg,1,LSim,5
3_146a.jpg,3_146b.jpg,1,LSim,2
1_021a.jpg,1_021b.jpg,3,HSim,2
1_155a.jpg,1_155b.jpg,5,Foil,3
1_156a.jpg,1_156b.jpg,1,Targ,1
4_048a.jpg,4_048b.jpg,4,Foil,4
2_133a.jpg,2_133b.jpg,3,Foil,1
D_180a.jpg,D_180b.jpg,1,LSim,2
2_144a.jpg,2_144b.jpg,3,Targ,2
E_003a.jpg,E_003b.jpg,5,Targ,2
F_099a.jpg,F_099b.jpg,3,HSim,2
1_167a.jpg,1_167b.jpg,5,Targ,4
1_030a.jpg,1_030b.jpg,1,LSim,4
3_102a.jpg,3_102b.jpg,3,HSim,2
2_132a.jpg,2_132b.jpg,2,Targ,1
5_006a.jpg,5_006b.jpg,4,HSim,4
2_091a.jpg,2_091b.jpg,3,HSim,3
2_070a.jpg,2_070b.jpg,2,Targ,3
6_091a.jpg,6_091b.jpg,3,HSim,5
6_119a.jpg,6_119b.jpg,4,HSim,4
3_094a.jpg,3_094b.jpg,1,Targ,1
4_142a.jpg,4_142b.jpg,3,Targ,3
1_166a.jpg,1_166b.jpg,1,LSim,5
1_175a.jpg,1_175b.jpg,3,Targ,5
3_134a.jpg,3_134b.jpg,4,Targ,3
2_171a.jpg,2_171b.jpg,1,LSim,5
6_059a.jpg,6_059b.jpg,4,HSim,1
E_114a.jpg,E_114b.jpg,4,HSim,3
4_135a.jpg,4_135b.jpg,4,HSim,5
5_093a.jpg,5_093b.jpg,1,Targ,2
5_124a.jpg,5_124b.jpg,2,LSim,3
1_079a.jpg,1_079b.jpg,1,LSim,3
3_163a.jpg,3_163b.jpg,2,LSim,3
6_007a.jpg,6_007b.jpg,3,Foil,5
1_063a.jpg,1_063b.jpg,5,Targ,1
D_014a.jpg,D_014b.jpg,5,Targ,5
3_173a.jpg,3_173b.jpg,1,Targ,3
4_111a.jpg,4_111b.jpg,3,HSim,5
3_117a.jpg,3_117b.jpg,4,Targ,4
4_063a.jpg,4_063b.jpg,3,Targ,3
3_141a.jpg,3_141b.jpg,1,LSim,4
2_095a.jpg,2_095b.jpg,2,LSim,4
6_185a.jpg,6_185b.jpg,4,HSim,1
3_157a.jpg,3_157b.jpg,5,Foil,5
1_187a.jpg,1_187b.jpg,2,LSim,1
2_053a.jpg,2_053b.jpg,4,HSim,4
4_120a.jpg,4_120b.jpg,4,HSim,2
4_021a.jpg,4_021b.jpg,3,HSim,1
2_178a.jpg,2_178b.jpg,4,HSim,1
2_109a.jpg,2_109b.jpg,4,HSim,1
E_023a.jpg,E_023b.jpg,1,LSim,4
5_119a.jpg,5_119b.jpg,1,LSim,4
1_019a.jpg,1_019b.jpg,1,Foil,3
2_058a.jpg,2_058b.jpg,4,HSim,5
3_023a.jpg,3_023b.jpg,2,LSim,3
F_097a.jpg,F_097b.jpg,3,HSim,2
6_139a.jpg,6_139b.jpg,3,Foil,1
6_035a.jpg,6_035b.jpg,4,Targ,1
2_130a.jpg,2_130b.jpg,2,LSim,1
2_123a.jpg,2_123b.jpg,5,Foil,5
2_136a.jpg,2_136b.jpg,3,HSim,3
6_116a.jpg,6_116b.jpg,2,LSim,5
1_110a.jpg,1_110b.jpg,1,Targ,4
1_057a.jpg,1_057b.jpg,5,Targ,5
2_139a.jpg,2_139b.jpg,1,LSim,3
1_049a.jpg,1_049b.jpg,1,LSim,5
5_103a.jpg,5_103b.jpg,5,Targ,3
1_168a.jpg,1_168b.jpg,1,LSim,1
5_070a.jpg,5_070b.jpg,2,Targ,2
1_179a.jpg,1_179b.jpg,5,Foil,5
D_029a.jpg,D_029b.jpg,3,HSim,4
3_118a.jpg,3_118b.jpg,1,Foil,4
C_120a.jpg,C_120b.jpg,4,Targ,5
4_065a.jpg,4_065b.jpg,4,HSim,1
6_135a.jpg,6_135b.jpg,4,HSim,1
3_068a.jpg,3_068b.jpg,1,LSim,4
1_183a.jpg,1_183b.jpg,2,LSim,4
1_056a.jpg,1_056b.jpg,1,LSim,2
1_023a.jpg,1_023b.jpg,4,HSim,2
C_075a.jpg,C_075b.jpg,1,LSim,3
1_151a.jpg,1_151b.jpg,3,Foil,2
4_141a.jpg,4_141b.jpg,3,HSim,5
