imgA,imgB,rating,condition,session_id
5_120a.jpg,5_120b.jpg,1,Foil,2
D_121a.jpg,D_121b.jpg,5,Targ,5
4_032a.jpg,4_032b.jpg,4,Foil,3
6_171a.jpg,6_171b.jpg,1,Foil,3
D_157a.jpg,D_157b.jpg,5,Targ,5
6_078a.jpg,6_078b.jpg,1,LSim,5
1_032a.jpg,1_032b.jpg,2,LSim,4
5_025a.jpg,5_025b.jpg,4,Foil,5
3_054a.jpg,3_054b.jpg,4,Targ,2
1_099a.jpg,1_099b.jpg,1,LSim,4
5_039a.jpg,5_039b.jpg,5,Targ,2
5_006a.jpg,5_006b.jpg,4,HSim,4
2_061a.jpg,2_061b.jpg,4,Targ,1
E_089a.jpg,E_089b.jpg,1,LSim,4
3_066a.jpg,3_066b.jpg,2,LSim,2
4_086a.jpg,4_086b.jpg,2,Foil,1
1_118a.jpg,1_118b.jpg,4,Targ,1
4_041a.jpg,4_041b.jpg,5,Targ,2
1_060a.jpg,1_060b.jpg,2,LSim,4
5_065a.jpg,5_065b.jpg,5,Targ,5
E_141a.jpg,E_141b.jpg,5,Targ,1
6_030a.jpg,6_030b.jpg,4,Targ,2
2_173a.jpg,2_173b.jpg,4,Targ,2
1_189a.jpg,1_189b.jpg,5,Foil,3
3_051a.jpg,3_051b.jpg,3,Targ,3
C_166a.jpg,C_166b.jpg,4,HSim,5
5_005a.jpg,5_005b.jpg,3,Targ,3
4_118a.jpg,4_118b.jpg,1,LSim,5
C_034a.jpg,C_034b.jpg,2,LSim,3
1_114a.jpg,1_114b.jpg,3,Targ,1
1_141a.jpg,1_141b.jpg,3,HSim,2
3_022a.jpg,3_022b.jpg,4,HSim,1
2_085a.jpg,2_085b.jpg,1,Targ,3
3_177a.jpg,3_177b.jpg,5,Targ,5
6_048a.jpg,6_048b.jpg,4,HSim,1
4_185a.jpg,4_185b.jpg,4,Targ,5
3_108a.jpg,3_108b.jpg,1,Targ,4
2_178a.jpg,2_178b.jpg,4,Foil,1
3_035a.jpg,3_035b.jpg,5,Targ,1
2_117a.jpg,2_117b.jpg,3,HSim,5
2_143a.jpg,2_143b.jpg,1,Targ,5
3_187a.jpg,3_187b.jpg,2,Foil,4
1_093a.jpg,1_093b.jpg,4,HSim,5
3_061a.jpg,3_061b.jpg,1,LSim,1
4_140a.jpg,4_140b.jpg,2,Targ,1
1_091a.jpg,1_091b.jpg,5,Foil,2
4_070a.jpg,4_070b.jpg,1,Foil,5
2_148a.jpg,2_148b.jpg,2,Targ,4
2_116a.jpg,2_116b.jpg,1,LSim,5
3_076a.jpg,3_076b.jpg,4,Foil,1
4_123a.jpg,4_123b.jpg,3,Foil,1
E_109a.jpg,E_109b.jpg,2,LSim,5
6_062a.jpg,6_062b.jpg,1,Targ,5
6_036a.jpg,6_036b.jpg,4,HSim,5
